,ticker,filing_date,html_link,text_link
0,AVY,2006-03-15,https://www.sec.gov/Archives/edgar/data/8818/0000950129-06-002659-index.html,https://www.sec.gov/Archives/edgar/data/8818/0000950129-06-002659.txt
1,AVY,2007-02-28,https://www.sec.gov/Archives/edgar/data/8818/0000950134-07-004370-index.html,https://www.sec.gov/Archives/edgar/data/8818/0000950134-07-004370.txt
2,AVY,2011-02-28,https://www.sec.gov/Archives/edgar/data/8818/0000950123-11-018967-index.html,https://www.sec.gov/Archives/edgar/data/8818/0000950123-11-018967.txt
3,AVY,2012-02-27,https://www.sec.gov/Archives/edgar/data/8818/0001193125-12-078843-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001193125-12-078843.txt
4,AVY,2013-02-27,https://www.sec.gov/Archives/edgar/data/8818/0001047469-13-001812-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001047469-13-001812.txt
5,AVY,2014-02-26,https://www.sec.gov/Archives/edgar/data/8818/0001047469-14-001386-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001047469-14-001386.txt
6,AVY,2015-02-25,https://www.sec.gov/Archives/edgar/data/8818/0001047469-15-001200-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001047469-15-001200.txt
7,AVY,2016-02-24,https://www.sec.gov/Archives/edgar/data/8818/0001047469-16-010376-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001047469-16-010376.txt
8,AVY,2017-02-23,https://www.sec.gov/Archives/edgar/data/8818/0001047469-17-000881-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001047469-17-000881.txt
9,AVY,2018-02-21,https://www.sec.gov/Archives/edgar/data/8818/0001047469-18-000931-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001047469-18-000931.txt
10,AVY,2019-02-27,https://www.sec.gov/Archives/edgar/data/8818/0001047469-19-000747-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001047469-19-000747.txt
11,BLL,2006-02-22,https://www.sec.gov/Archives/edgar/data/9389/0000009389-06-000068-index.html,https://www.sec.gov/Archives/edgar/data/9389/0000009389-06-000068.txt
12,BLL,2007-02-22,https://www.sec.gov/Archives/edgar/data/9389/0000009389-07-000049-index.html,https://www.sec.gov/Archives/edgar/data/9389/0000009389-07-000049.txt
13,BAC,2000-03-20,https://www.sec.gov/Archives/edgar/data/70858/0000950168-00-000621-index.html,https://www.sec.gov/Archives/edgar/data/70858/0000950168-00-000621.txt
14,BAC,2002-03-27,https://www.sec.gov/Archives/edgar/data/70858/0000950168-02-000551-index.html,https://www.sec.gov/Archives/edgar/data/70858/0000950168-02-000551.txt
15,BAC,2008-02-28,https://www.sec.gov/Archives/edgar/data/70858/0001193125-08-041665-index.html,https://www.sec.gov/Archives/edgar/data/70858/0001193125-08-041665.txt
16,BAC,2009-02-27,https://www.sec.gov/Archives/edgar/data/70858/0001193125-09-041126-index.html,https://www.sec.gov/Archives/edgar/data/70858/0001193125-09-041126.txt
17,BAC,1999-03-22,https://www.sec.gov/Archives/edgar/data/70858/0000950168-99-000782-index.html,https://www.sec.gov/Archives/edgar/data/70858/0000950168-99-000782.txt
18,BAC,1998-03-13,https://www.sec.gov/Archives/edgar/data/70858/0000950168-98-000724-index.html,https://www.sec.gov/Archives/edgar/data/70858/0000950168-98-000724.txt
19,BAX,2007-02-28,https://www.sec.gov/Archives/edgar/data/10456/0000950137-07-002905-index.html,https://www.sec.gov/Archives/edgar/data/10456/0000950137-07-002905.txt
20,BAX,2010-02-23,https://www.sec.gov/Archives/edgar/data/10456/0000950123-10-015380-index.html,https://www.sec.gov/Archives/edgar/data/10456/0000950123-10-015380.txt
21,BAX,2011-02-23,https://www.sec.gov/Archives/edgar/data/10456/0000950123-11-017190-index.html,https://www.sec.gov/Archives/edgar/data/10456/0000950123-11-017190.txt
22,BAX,2012-02-23,https://www.sec.gov/Archives/edgar/data/10456/0001193125-12-075661-index.html,https://www.sec.gov/Archives/edgar/data/10456/0001193125-12-075661.txt
23,BAX,2013-02-21,https://www.sec.gov/Archives/edgar/data/10456/0001193125-13-069609-index.html,https://www.sec.gov/Archives/edgar/data/10456/0001193125-13-069609.txt
24,BAX,2014-02-21,https://www.sec.gov/Archives/edgar/data/10456/0001193125-14-061654-index.html,https://www.sec.gov/Archives/edgar/data/10456/0001193125-14-061654.txt
25,BAX,2015-02-26,https://www.sec.gov/Archives/edgar/data/10456/0001193125-15-065871-index.html,https://www.sec.gov/Archives/edgar/data/10456/0001193125-15-065871.txt
