,ticker,filing_date,html_link,text_link
0,CTL,2007-03-01,https://www.sec.gov/Archives/edgar/data/18926/0001140361-07-004700-index.html,https://www.sec.gov/Archives/edgar/data/18926/0001140361-07-004700.txt
1,CERN,1997-03-28,https://www.sec.gov/Archives/edgar/data/804753/0000804753-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000804753-97-000010.txt
2,CERN,1999-04-02,https://www.sec.gov/Archives/edgar/data/804753/0000804753-99-000056-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000804753-99-000056.txt
3,CERN,2000-03-29,https://www.sec.gov/Archives/edgar/data/804753/0000804753-00-000052-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000804753-00-000052.txt
4,CERN,2001-03-30,https://www.sec.gov/Archives/edgar/data/804753/0000804753-01-000056-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000804753-01-000056.txt
5,CERN,2003-03-12,https://www.sec.gov/Archives/edgar/data/804753/0000950134-03-003674-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950134-03-003674.txt
6,CERN,2004-03-18,https://www.sec.gov/Archives/edgar/data/804753/0000950137-04-001988-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950137-04-001988.txt
7,CERN,2005-03-17,https://www.sec.gov/Archives/edgar/data/804753/0000950137-05-003217-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950137-05-003217.txt
8,CERN,2006-03-16,https://www.sec.gov/Archives/edgar/data/804753/0000950137-06-003137-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950137-06-003137.txt
9,CERN,2007-02-28,https://www.sec.gov/Archives/edgar/data/804753/0000950137-07-002997-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950137-07-002997.txt
10,CERN,2008-02-27,https://www.sec.gov/Archives/edgar/data/804753/0000950137-08-002851-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950137-08-002851.txt
11,CERN,2009-03-02,https://www.sec.gov/Archives/edgar/data/804753/0000950137-09-001436-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950137-09-001436.txt
12,CERN,2010-02-22,https://www.sec.gov/Archives/edgar/data/804753/0000950123-10-015243-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950123-10-015243.txt
13,CERN,2011-02-16,https://www.sec.gov/Archives/edgar/data/804753/0000950123-11-014774-index.html,https://www.sec.gov/Archives/edgar/data/804753/0000950123-11-014774.txt
14,CERN,2012-02-15,https://www.sec.gov/Archives/edgar/data/804753/0001193125-12-063585-index.html,https://www.sec.gov/Archives/edgar/data/804753/0001193125-12-063585.txt
15,CF,2007-02-28,https://www.sec.gov/Archives/edgar/data/1324404/0001104659-07-014916-index.html,https://www.sec.gov/Archives/edgar/data/1324404/0001104659-07-014916.txt
16,SCHW,1998-03-27,https://www.sec.gov/Archives/edgar/data/316709/0001047469-98-012181-index.html,https://www.sec.gov/Archives/edgar/data/316709/0001047469-98-012181.txt
17,SCHW,1999-03-30,https://www.sec.gov/Archives/edgar/data/316709/0000316709-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/316709/0000316709-99-000003.txt
18,SCHW,2000-03-28,https://www.sec.gov/Archives/edgar/data/316709/0000316709-00-000009-index.html,https://www.sec.gov/Archives/edgar/data/316709/0000316709-00-000009.txt
19,SCHW,2001-03-28,https://www.sec.gov/Archives/edgar/data/316709/0000316709-01-000010-index.html,https://www.sec.gov/Archives/edgar/data/316709/0000316709-01-000010.txt
20,SCHW,2002-03-27,https://www.sec.gov/Archives/edgar/data/316709/0000316709-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/316709/0000316709-02-000008.txt
21,SCHW,2007-02-26,https://www.sec.gov/Archives/edgar/data/316709/0001193125-07-039782-index.html,https://www.sec.gov/Archives/edgar/data/316709/0001193125-07-039782.txt
22,SCHW,2010-02-25,https://www.sec.gov/Archives/edgar/data/316709/0001193125-10-040444-index.html,https://www.sec.gov/Archives/edgar/data/316709/0001193125-10-040444.txt
23,SCHW,2011-02-25,https://www.sec.gov/Archives/edgar/data/316709/0001193125-11-046932-index.html,https://www.sec.gov/Archives/edgar/data/316709/0001193125-11-046932.txt
24,SCHW,2012-02-24,https://www.sec.gov/Archives/edgar/data/316709/0001193125-12-077926-index.html,https://www.sec.gov/Archives/edgar/data/316709/0001193125-12-077926.txt
25,SCHW,2013-02-22,https://www.sec.gov/Archives/edgar/data/316709/0001193125-13-071646-index.html,https://www.sec.gov/Archives/edgar/data/316709/0001193125-13-071646.txt
26,CHTR,2003-04-15,https://www.sec.gov/Archives/edgar/data/1091667/0000950123-03-004266-index.html,https://www.sec.gov/Archives/edgar/data/1091667/0000950123-03-004266.txt
27,CHTR,2004-03-15,https://www.sec.gov/Archives/edgar/data/1091667/0000950137-04-001876-index.html,https://www.sec.gov/Archives/edgar/data/1091667/0000950137-04-001876.txt
28,CHTR,2005-03-03,https://www.sec.gov/Archives/edgar/data/1091667/0000950137-05-002540-index.html,https://www.sec.gov/Archives/edgar/data/1091667/0000950137-05-002540.txt
29,CVX,2006-03-01,https://www.sec.gov/Archives/edgar/data/93410/0000950149-06-000076-index.html,https://www.sec.gov/Archives/edgar/data/93410/0000950149-06-000076.txt
30,CVX,2007-02-28,https://www.sec.gov/Archives/edgar/data/93410/0000950149-07-000074-index.html,https://www.sec.gov/Archives/edgar/data/93410/0000950149-07-000074.txt
31,CVX,2008-02-28,https://www.sec.gov/Archives/edgar/data/93410/0000950134-08-003672-index.html,https://www.sec.gov/Archives/edgar/data/93410/0000950134-08-003672.txt
