,ticker,filing_date,html_link,text_link
0,ADP,2019-08-09,https://www.sec.gov/Archives/edgar/data/8670/0000008670-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/8670/0000008670-19-000021.txt
1,AZO,2002-10-31,https://www.sec.gov/Archives/edgar/data/866787/0000950144-02-010940-index.html,https://www.sec.gov/Archives/edgar/data/866787/0000950144-02-010940.txt
2,AZO,2003-10-30,https://www.sec.gov/Archives/edgar/data/866787/0000950144-03-011980-index.html,https://www.sec.gov/Archives/edgar/data/866787/0000950144-03-011980.txt
3,AZO,2004-10-27,https://www.sec.gov/Archives/edgar/data/866787/0000950144-04-010103-index.html,https://www.sec.gov/Archives/edgar/data/866787/0000950144-04-010103.txt
4,AZO,2005-10-26,https://www.sec.gov/Archives/edgar/data/866787/0001144204-05-032748-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001144204-05-032748.txt
5,AZO,2006-10-25,https://www.sec.gov/Archives/edgar/data/866787/0001144204-06-043603-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001144204-06-043603.txt
6,AZO,2007-10-22,https://www.sec.gov/Archives/edgar/data/866787/0001144204-07-055597-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001144204-07-055597.txt
7,AZO,2008-10-27,https://www.sec.gov/Archives/edgar/data/866787/0001362310-08-006211-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001362310-08-006211.txt
8,AZO,2009-10-26,https://www.sec.gov/Archives/edgar/data/866787/0000950123-09-053232-index.html,https://www.sec.gov/Archives/edgar/data/866787/0000950123-09-053232.txt
9,AZO,2010-10-25,https://www.sec.gov/Archives/edgar/data/866787/0000950123-10-095687-index.html,https://www.sec.gov/Archives/edgar/data/866787/0000950123-10-095687.txt
10,AZO,2011-10-24,https://www.sec.gov/Archives/edgar/data/866787/0000950123-11-091540-index.html,https://www.sec.gov/Archives/edgar/data/866787/0000950123-11-091540.txt
11,AZO,2012-10-22,https://www.sec.gov/Archives/edgar/data/866787/0001193125-12-430271-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001193125-12-430271.txt
12,AZO,2013-10-28,https://www.sec.gov/Archives/edgar/data/866787/0001193125-13-413428-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001193125-13-413428.txt
13,AZO,2015-10-26,https://www.sec.gov/Archives/edgar/data/866787/0001193125-15-353476-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001193125-15-353476.txt
14,AZO,2016-10-24,https://www.sec.gov/Archives/edgar/data/866787/0001193125-16-745160-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001193125-16-745160.txt
15,AZO,2017-10-25,https://www.sec.gov/Archives/edgar/data/866787/0001193125-17-319357-index.html,https://www.sec.gov/Archives/edgar/data/866787/0001193125-17-319357.txt
16,AVY,1999-03-31,https://www.sec.gov/Archives/edgar/data/8818/0000898430-99-001342-index.html,https://www.sec.gov/Archives/edgar/data/8818/0000898430-99-001342.txt
17,AVY,2000-03-30,https://www.sec.gov/Archives/edgar/data/8818/0001104659-00-000110-index.html,https://www.sec.gov/Archives/edgar/data/8818/0001104659-00-000110.txt
