ticker,filing_date,html_link
AES,2003-03-26,https://www.sec.gov/Archives/edgar/data/874761/0001047469-03-010240-index.html
AFL,2004-03-11,https://www.sec.gov/Archives/edgar/data/4977/0000004977-04-000030-index.html
AFL,2005-03-10,https://www.sec.gov/Archives/edgar/data/4977/0000004977-05-000049-index.html
AFL,2006-02-28,https://www.sec.gov/Archives/edgar/data/4977/0000004977-06-000036-index.html
AFL,2007-02-28,https://www.sec.gov/Archives/edgar/data/4977/0001104659-07-015014-index.html
A,2009-12-21,https://www.sec.gov/Archives/edgar/data/1090872/0001047469-09-010861-index.html
A,2010-12-20,https://www.sec.gov/Archives/edgar/data/1090872/0001047469-10-010499-index.html
A,2011-12-16,https://www.sec.gov/Archives/edgar/data/1090872/0001047469-11-010124-index.html
AKAM,2001-02-12,https://www.sec.gov/Archives/edgar/data/1086222/0000950135-01-000445-index.html
AKAM,2003-03-28,https://www.sec.gov/Archives/edgar/data/1086222/0000950135-03-002051-index.html
AKAM,2005-03-16,https://www.sec.gov/Archives/edgar/data/1086222/0000950135-05-001475-index.html
