,ticker,filing_date,html_link,text_link
0,ADI,2002-01-28,https://www.sec.gov/Archives/edgar/data/6281/0000950135-02-000307-index.html,https://www.sec.gov/Archives/edgar/data/6281/0000950135-02-000307.txt
1,ADI,2003-01-29,https://www.sec.gov/Archives/edgar/data/6281/0000950135-03-000473-index.html,https://www.sec.gov/Archives/edgar/data/6281/0000950135-03-000473.txt
2,ANSS,1997-03-26,https://www.sec.gov/Archives/edgar/data/1013462/0000950132-97-000207-index.html,https://www.sec.gov/Archives/edgar/data/1013462/0000950132-97-000207.txt
3,AON,2004-03-11,https://www.sec.gov/Archives/edgar/data/315293/0001047469-04-007513-index.html,https://www.sec.gov/Archives/edgar/data/315293/0001047469-04-007513.txt
