ticker,filing_date,html_link
AKAM,2006-03-16,https://www.sec.gov/Archives/edgar/data/1086222/0000950135-06-001650-index.html
AKAM,2007-03-01,https://www.sec.gov/Archives/edgar/data/1086222/0000950135-07-001307-index.html
ALB,1997-03-27,https://www.sec.gov/Archives/edgar/data/915913/0000916641-97-000256-index.html
ALB,1998-03-20,https://www.sec.gov/Archives/edgar/data/915913/0000915913-98-000004-index.html
ALB,1999-03-11,https://www.sec.gov/Archives/edgar/data/915913/0000915913-99-000005-index.html
ALB,2007-03-01,https://www.sec.gov/Archives/edgar/data/915913/0001193125-07-044118-index.html
ALB,2011-02-25,https://www.sec.gov/Archives/edgar/data/915913/0001193125-11-047404-index.html
ALB,2012-02-22,https://www.sec.gov/Archives/edgar/data/915913/0001193125-12-071957-index.html
ARE,2003-03-31,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-03-000002-index.html
ARE,2004-03-15,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-04-000010-index.html
ARE,2005-03-16,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-05-000005-index.html
ARE,2006-03-16,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-06-000013-index.html
ARE,2007-03-01,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-07-000004-index.html
ALXN,1998-10-27,https://www.sec.gov/Archives/edgar/data/899866/0001047469-98-038316-index.html
ALXN,2001-10-29,https://www.sec.gov/Archives/edgar/data/899866/0000927016-01-503357-index.html
ALXN,2005-10-11,https://www.sec.gov/Archives/edgar/data/899866/0001193125-05-199537-index.html
ALXN,2007-02-23,https://www.sec.gov/Archives/edgar/data/899866/0001193125-07-038366-index.html
ALXN,2008-02-29,https://www.sec.gov/Archives/edgar/data/899866/0001193125-08-043592-index.html
ALXN,2009-02-23,https://www.sec.gov/Archives/edgar/data/899866/0001193125-09-035223-index.html
ALXN,2010-02-23,https://www.sec.gov/Archives/edgar/data/899866/0001193125-10-037748-index.html
ALXN,2011-02-17,https://www.sec.gov/Archives/edgar/data/899866/0001193125-11-039250-index.html
