,ticker,filing_date,html_link,text_link
0,BLK,2018-02-28,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-18-003744-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-18-003744.txt
1,BLK,2019-02-28,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-19-005479-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-19-005479.txt
2,BLK,2020-02-28,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-20-007807-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-20-007807.txt
3,BA,2002-03-08,https://www.sec.gov/Archives/edgar/data/12927/0000012927-02-000005-index.html,https://www.sec.gov/Archives/edgar/data/12927/0000012927-02-000005.txt
4,BA,2008-02-15,https://www.sec.gov/Archives/edgar/data/12927/0001193125-08-032328-index.html,https://www.sec.gov/Archives/edgar/data/12927/0001193125-08-032328.txt
5,BA,2011-02-09,https://www.sec.gov/Archives/edgar/data/12927/0001193125-11-028490-index.html,https://www.sec.gov/Archives/edgar/data/12927/0001193125-11-028490.txt
6,BA,2012-02-09,https://www.sec.gov/Archives/edgar/data/12927/0001193125-12-048565-index.html,https://www.sec.gov/Archives/edgar/data/12927/0001193125-12-048565.txt
7,BWA,2002-03-25,https://www.sec.gov/Archives/edgar/data/908255/0000908255-02-000040-index.html,https://www.sec.gov/Archives/edgar/data/908255/0000908255-02-000040.txt
8,BWA,2005-03-15,https://www.sec.gov/Archives/edgar/data/908255/0000950137-05-003025-index.html,https://www.sec.gov/Archives/edgar/data/908255/0000950137-05-003025.txt
9,BWA,2006-02-17,https://www.sec.gov/Archives/edgar/data/908255/0000950137-06-002007-index.html,https://www.sec.gov/Archives/edgar/data/908255/0000950137-06-002007.txt
10,BWA,2007-02-16,https://www.sec.gov/Archives/edgar/data/908255/0000950137-07-002405-index.html,https://www.sec.gov/Archives/edgar/data/908255/0000950137-07-002405.txt
11,BWA,2008-02-14,https://www.sec.gov/Archives/edgar/data/908255/0000908255-08-000021-index.html,https://www.sec.gov/Archives/edgar/data/908255/0000908255-08-000021.txt
12,BWA,2009-02-12,https://www.sec.gov/Archives/edgar/data/908255/0000950137-09-001021-index.html,https://www.sec.gov/Archives/edgar/data/908255/0000950137-09-001021.txt
13,BXP,2004-02-26,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-04-029645-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-04-029645.txt
14,BXP,2005-03-15,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-05-050590-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-05-050590.txt
15,BXP,2006-03-16,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-06-056870-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-06-056870.txt
16,BXP,2007-03-01,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-07-044560-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-07-044560.txt
17,BXP,2008-02-29,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-08-043857-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-08-043857.txt
18,BXP,2009-03-02,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-09-042701-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-09-042701.txt
19,BXP,2010-02-25,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-10-040826-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-10-040826.txt
20,BXP,2011-02-25,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-11-047496-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-11-047496.txt
21,BXP,2012-02-28,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-12-085764-index.html,https://www.sec.gov/Archives/edgar/data/1037540/0001193125-12-085764.txt
22,BSX,1997-03-31,https://www.sec.gov/Archives/edgar/data/885725/0000950135-97-001518-index.html,https://www.sec.gov/Archives/edgar/data/885725/0000950135-97-001518.txt
