,ticker,filing_date,html_link,text_link
0,BSX,2007-03-01,https://www.sec.gov/Archives/edgar/data/885725/0001072613-07-000570-index.html,https://www.sec.gov/Archives/edgar/data/885725/0001072613-07-000570.txt
1,BMY,1994-03-31,https://www.sec.gov/Archives/edgar/data/14272/0000014272-94-000003-index.html,https://www.sec.gov/Archives/edgar/data/14272/0000014272-94-000003.txt
2,BMY,1995-03-29,https://www.sec.gov/Archives/edgar/data/14272/0000014272-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/14272/0000014272-95-000004.txt
3,BMY,1996-03-28,https://www.sec.gov/Archives/edgar/data/14272/0000014272-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/0000014272-96-000002.txt
4,BMY,1997-03-31,https://www.sec.gov/Archives/edgar/data/14272/0000014272-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/14272/0000014272-97-000008.txt
5,BMY,1998-03-31,https://www.sec.gov/Archives/edgar/data/14272/0000014272-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/0000014272-98-000002.txt
6,BMY,1999-03-30,https://www.sec.gov/Archives/edgar/data/14272/0000014272-99-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/0000014272-99-000002.txt
7,BMY,2000-03-30,https://www.sec.gov/Archives/edgar/data/14272/0000014272-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/0000014272-00-000002.txt
8,BMY,2004-03-15,https://www.sec.gov/Archives/edgar/data/14272/0001193125-04-041353-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-04-041353.txt
9,BMY,2005-03-04,https://www.sec.gov/Archives/edgar/data/14272/0001193125-05-041808-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-05-041808.txt
10,BMY,2007-02-26,https://www.sec.gov/Archives/edgar/data/14272/0001193125-07-039915-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-07-039915.txt
11,BMY,2008-02-22,https://www.sec.gov/Archives/edgar/data/14272/0001193125-08-035566-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-08-035566.txt
12,BMY,2009-02-20,https://www.sec.gov/Archives/edgar/data/14272/0001193125-09-033538-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-09-033538.txt
13,BMY,2010-02-19,https://www.sec.gov/Archives/edgar/data/14272/0001193125-10-035167-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-10-035167.txt
14,BMY,2011-02-18,https://www.sec.gov/Archives/edgar/data/14272/0001193125-11-040120-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-11-040120.txt
15,BMY,2012-02-17,https://www.sec.gov/Archives/edgar/data/14272/0001193125-12-066416-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-12-066416.txt
16,BMY,2013-02-15,https://www.sec.gov/Archives/edgar/data/14272/0001193125-13-061678-index.html,https://www.sec.gov/Archives/edgar/data/14272/0001193125-13-061678.txt
17,BF.B,2012-06-27,https://www.sec.gov/Archives/edgar/data/14693/0001193125-12-285018-index.html,https://www.sec.gov/Archives/edgar/data/14693/0001193125-12-285018.txt
