ticker,filing_date,html_link
ATVI,1996-07-08,https://www.sec.gov/Archives/edgar/data/718877/0000718877-96-000011-index.html
ATVI,1999-06-29,https://www.sec.gov/Archives/edgar/data/718877/0001047469-99-025826-index.html
ATVI,2009-02-27,https://www.sec.gov/Archives/edgar/data/718877/0001047469-09-002015-index.html
ATVI,2010-03-01,https://www.sec.gov/Archives/edgar/data/718877/0001047469-10-001649-index.html
ATVI,2011-02-25,https://www.sec.gov/Archives/edgar/data/718877/0001047469-11-001413-index.html
ATVI,2012-02-28,https://www.sec.gov/Archives/edgar/data/718877/0001047469-12-001775-index.html
ATVI,2013-02-22,https://www.sec.gov/Archives/edgar/data/718877/0001047469-13-001506-index.html
ATVI,2014-03-03,https://www.sec.gov/Archives/edgar/data/718877/0001047469-14-001688-index.html
ATVI,2015-02-26,https://www.sec.gov/Archives/edgar/data/718877/0001047469-15-001298-index.html
ATVI,2016-02-29,https://www.sec.gov/Archives/edgar/data/718877/0001047469-16-010584-index.html
ATVI,2017-02-28,https://www.sec.gov/Archives/edgar/data/718877/0001047469-17-001072-index.html
ATVI,2018-02-27,https://www.sec.gov/Archives/edgar/data/718877/0001047469-18-001114-index.html
ATVI,2019-02-28,https://www.sec.gov/Archives/edgar/data/718877/0001047469-19-000788-index.html
ADBE,2019-01-25,https://www.sec.gov/Archives/edgar/data/796343/0000796343-19-000019-index.html
ADBE,2020-01-21,https://www.sec.gov/Archives/edgar/data/796343/0000796343-20-000013-index.html
ADBE,2000-02-16,https://www.sec.gov/Archives/edgar/data/796343/0000912057-00-007295-index.html
ADBE,2001-02-26,https://www.sec.gov/Archives/edgar/data/796343/0000912057-01-006700-index.html
ADBE,2002-02-21,https://www.sec.gov/Archives/edgar/data/796343/0000912057-02-007164-index.html
ADBE,2003-02-26,https://www.sec.gov/Archives/edgar/data/796343/0001174947-03-000004-index.html
ADBE,2004-02-05,https://www.sec.gov/Archives/edgar/data/796343/0001047469-04-003345-index.html
ADBE,2005-02-02,https://www.sec.gov/Archives/edgar/data/796343/0001047469-05-002143-index.html
ADBE,2006-02-08,https://www.sec.gov/Archives/edgar/data/796343/0001047469-06-001601-index.html
ADBE,2007-02-05,https://www.sec.gov/Archives/edgar/data/796343/0001104659-07-007286-index.html
ADBE,2008-01-24,https://www.sec.gov/Archives/edgar/data/796343/0001047469-08-000497-index.html
ADBE,2009-01-23,https://www.sec.gov/Archives/edgar/data/796343/0000796343-09-000007-index.html
ADBE,2010-01-22,https://www.sec.gov/Archives/edgar/data/796343/0000796343-10-000003-index.html
ADBE,2011-01-27,https://www.sec.gov/Archives/edgar/data/796343/0000796343-11-000003-index.html
ADBE,2012-01-26,https://www.sec.gov/Archives/edgar/data/796343/0000796343-12-000003-index.html
ADBE,2013-01-22,https://www.sec.gov/Archives/edgar/data/796343/0000796343-13-000008-index.html
ADBE,2014-01-21,https://www.sec.gov/Archives/edgar/data/796343/0000796343-14-000004-index.html
ADBE,2015-01-20,https://www.sec.gov/Archives/edgar/data/796343/0000796343-15-000022-index.html
ADBE,2016-01-19,https://www.sec.gov/Archives/edgar/data/796343/0000796343-16-000224-index.html
ADBE,2017-01-20,https://www.sec.gov/Archives/edgar/data/796343/0000796343-17-000031-index.html
ADBE,2018-01-22,https://www.sec.gov/Archives/edgar/data/796343/0000796343-18-000015-index.html
AAP,2006-03-16,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-06-000037-index.html
AAP,2007-02-28,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-07-000040-index.html
