,ticker,filing_date,html_link,text_link
0,BDX,2009-11-25,https://www.sec.gov/Archives/edgar/data/10795/0000950123-09-066233-index.html,https://www.sec.gov/Archives/edgar/data/10795/0000950123-09-066233.txt
1,BDX,2010-11-24,https://www.sec.gov/Archives/edgar/data/10795/0000950123-10-108757-index.html,https://www.sec.gov/Archives/edgar/data/10795/0000950123-10-108757.txt
2,BDX,2012-11-21,https://www.sec.gov/Archives/edgar/data/10795/0001193125-12-478705-index.html,https://www.sec.gov/Archives/edgar/data/10795/0001193125-12-478705.txt
3,BRK.B,2005-03-15,https://www.sec.gov/Archives/edgar/data/1067983/0000950129-05-002423-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0000950129-05-002423.txt
4,BRK.B,2006-03-13,https://www.sec.gov/Archives/edgar/data/1067983/0000950129-06-002521-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0000950129-06-002521.txt
5,BRK.B,2007-03-01,https://www.sec.gov/Archives/edgar/data/1067983/0000950134-07-004573-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0000950134-07-004573.txt
6,BRK.B,2008-02-29,https://www.sec.gov/Archives/edgar/data/1067983/0000950134-08-003848-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0000950134-08-003848.txt
7,BRK.B,2009-03-02,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-09-042055-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-09-042055.txt
8,BRK.B,2010-03-01,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-10-043450-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-10-043450.txt
9,BRK.B,2011-02-28,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-11-048914-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-11-048914.txt
10,BRK.B,2012-02-27,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-12-079022-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-12-079022.txt
11,BRK.B,2013-03-01,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-13-087679-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-13-087679.txt
12,BRK.B,2014-03-03,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-14-078778-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-14-078778.txt
13,BRK.B,2015-03-02,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-15-070966-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-15-070966.txt
14,BRK.B,2018-02-26,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-18-057033-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-18-057033.txt
15,BRK.B,2019-02-25,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-19-048926-index.html,https://www.sec.gov/Archives/edgar/data/1067983/0001193125-19-048926.txt
16,BBY,2009-04-29,https://www.sec.gov/Archives/edgar/data/764478/0001047469-09-004730-index.html,https://www.sec.gov/Archives/edgar/data/764478/0001047469-09-004730.txt
17,BBY,2010-04-28,https://www.sec.gov/Archives/edgar/data/764478/0001047469-10-004349-index.html,https://www.sec.gov/Archives/edgar/data/764478/0001047469-10-004349.txt
18,BBY,2011-04-25,https://www.sec.gov/Archives/edgar/data/764478/0001047469-11-004045-index.html,https://www.sec.gov/Archives/edgar/data/764478/0001047469-11-004045.txt
19,BBY,2020-03-23,https://www.sec.gov/Archives/edgar/data/764478/0000764478-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/764478/0000764478-20-000017.txt
20,BIIB,2004-03-10,https://www.sec.gov/Archives/edgar/data/875045/0000950135-04-001180-index.html,https://www.sec.gov/Archives/edgar/data/875045/0000950135-04-001180.txt
21,BIIB,2005-03-31,https://www.sec.gov/Archives/edgar/data/875045/0000950135-05-001792-index.html,https://www.sec.gov/Archives/edgar/data/875045/0000950135-05-001792.txt
22,BIIB,2006-03-03,https://www.sec.gov/Archives/edgar/data/875045/0000950135-06-001384-index.html,https://www.sec.gov/Archives/edgar/data/875045/0000950135-06-001384.txt
23,BIIB,2007-02-21,https://www.sec.gov/Archives/edgar/data/875045/0000950135-07-000981-index.html,https://www.sec.gov/Archives/edgar/data/875045/0000950135-07-000981.txt
24,BLK,2007-03-13,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-07-053304-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-07-053304.txt
25,BLK,2008-02-28,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-08-041884-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-08-041884.txt
26,BLK,2010-03-10,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-10-052764-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-10-052764.txt
27,BLK,2011-02-28,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-11-050218-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-11-050218.txt
28,BLK,2012-02-28,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-12-085869-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-12-085869.txt
29,BLK,2013-03-01,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-13-084957-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-13-084957.txt
30,BLK,2014-02-28,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-14-076587-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-14-076587.txt
31,BLK,2015-02-27,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-15-069955-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001193125-15-069955.txt
32,BLK,2016-02-26,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-16-013511-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-16-013511.txt
33,BLK,2017-02-28,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-17-002816-index.html,https://www.sec.gov/Archives/edgar/data/1364742/0001564590-17-002816.txt
