ticker,filing_date,html_link
ADS,2005-03-04,https://www.sec.gov/Archives/edgar/data/1101215/0000950134-05-004246-index.html
ADS,2006-03-03,https://www.sec.gov/Archives/edgar/data/1101215/0000950134-06-004179-index.html
ADS,2007-02-26,https://www.sec.gov/Archives/edgar/data/1101215/0000950134-07-004084-index.html
ADS,2008-02-28,https://www.sec.gov/Archives/edgar/data/1101215/0001193125-08-041317-index.html
ADS,2009-03-02,https://www.sec.gov/Archives/edgar/data/1101215/0001193125-09-042284-index.html
ADS,2010-03-01,https://www.sec.gov/Archives/edgar/data/1101215/0001193125-10-043956-index.html
LNT,2004-03-11,https://www.sec.gov/Archives/edgar/data/352541/0000107832-04-000096-index.html
LNT,2005-03-04,https://www.sec.gov/Archives/edgar/data/352541/0000107832-05-000069-index.html
LNT,2006-03-03,https://www.sec.gov/Archives/edgar/data/352541/0000107832-06-000055-index.html
LNT,2007-03-01,https://www.sec.gov/Archives/edgar/data/352541/0000107832-07-000058-index.html
LNT,2008-02-28,https://www.sec.gov/Archives/edgar/data/352541/0000107832-08-000019-index.html
LNT,2009-02-27,https://www.sec.gov/Archives/edgar/data/352541/0000107832-09-000001-index.html
LNT,2010-02-26,https://www.sec.gov/Archives/edgar/data/352541/0000352541-10-000009-index.html
LNT,2011-02-28,https://www.sec.gov/Archives/edgar/data/352541/0001193125-11-049662-index.html
LNT,2012-02-27,https://www.sec.gov/Archives/edgar/data/352541/0001193125-12-081622-index.html
ALL,2002-03-26,https://www.sec.gov/Archives/edgar/data/899051/0000912057-02-011595-index.html
ALL,2004-03-11,https://www.sec.gov/Archives/edgar/data/899051/0001047469-04-007369-index.html
ALL,2008-02-27,https://www.sec.gov/Archives/edgar/data/899051/0001047469-08-001846-index.html
ALL,2009-02-26,https://www.sec.gov/Archives/edgar/data/899051/0001047469-09-001878-index.html
ALL,2010-02-25,https://www.sec.gov/Archives/edgar/data/899051/0001047469-10-001355-index.html
ALL,2011-02-24,https://www.sec.gov/Archives/edgar/data/899051/0001047469-11-001286-index.html
ALL,2013-02-20,https://www.sec.gov/Archives/edgar/data/899051/0001047469-13-001288-index.html
ALL,2014-02-20,https://www.sec.gov/Archives/edgar/data/899051/0001047469-14-001083-index.html
ALL,2015-02-19,https://www.sec.gov/Archives/edgar/data/899051/0001047469-15-000935-index.html
